,core_0,core_1,core_2,core_3,core_4,core_5,core_6
840727059001417728,False,True,False,False,True,False,False
79731584,True,False,True,True,False,False,False
1065814051,False,True,False,False,False,False,False
3170414136,False,True,False,False,False,False,False
1068071788616261632,True,False,False,False,False,True,True
21726024,False,False,False,False,True,False,False
1041755182638366720,False,False,False,False,True,False,False
313456150,True,False,False,False,False,False,False
527031882,True,False,False,False,False,False,False
1390481373673271307,True,False,False,False,False,False,False
2891653232,True,False,False,False,False,False,False
168967719,False,True,False,False,False,False,False
1376132467686395908,False,True,False,False,False,False,False
1065661201344999424,False,True,False,False,False,False,False
812991537852411905,False,True,False,False,False,False,False
1138665606838751232,False,False,True,False,False,False,False
26007185,False,False,True,False,False,False,False
1190212276923568133,False,False,True,False,False,False,False
913384362997055488,False,False,True,False,False,False,False
846047185208823812,False,True,False,True,False,False,False
757220983,False,False,False,True,False,False,False
709308714,False,False,False,True,False,False,False
3062122399,False,False,False,True,False,False,False
917228694,False,False,False,False,True,False,False
1143181538621820929,False,False,False,False,True,False,False
903046168590024708,False,False,False,False,True,False,False
1186063758432620549,False,False,False,False,True,False,False
139393409,False,False,False,False,False,True,False
966736978061549574,False,False,False,False,False,True,False
250234214,False,False,False,False,False,True,False
809381604850167808,False,False,False,False,False,True,False
1363305727733993480,False,False,False,False,False,False,True
1014181481131003904,False,False,False,False,False,False,True
1195358079606505478,False,False,False,False,False,False,True
1143470895480152065,False,False,False,False,False,False,True
